epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9313,1.19675,2.76204,1.60712,0.00333,1,0.37776,0.22167,1.49322,3.46703,1.92776,0.00012,0.00012,0.00012
2,131.475,0.83054,1.9552,1.38462,0.00333,1,0.64,0.3217,0.94901,3.15368,1.3919,0.000257426,0.000257426,0.000257426
3,177.889,0.87631,1.51992,1.4039,0.00333,1,0.88071,0.53358,1.03189,3.05189,1.48885,0.00039208,0.00039208,0.00039208
4,219.507,0.93876,1.45762,1.41545,0.12558,1,0.79192,0.48427,1.15676,3.3062,1.75101,0.000523962,0.000523962,0.000523962
5,260.99,0.89746,1.33243,1.41066,1,0.3997,0.75864,0.47078,1.26008,2.98448,1.85156,0.000653072,0.000653072,0.000653072
6,302.14,0.82107,1.21149,1.30874,0.65872,0.4,0.67833,0.42639,1.31081,2.87338,1.84273,0.00077941,0.00077941,0.00077941
7,344.497,0.99503,1.3053,1.44624,0.49174,0.4,0.43832,0.12238,1.94511,3.44783,2.2846,0.000902976,0.000902976,0.000902976
8,385.481,0.96829,1.182,1.42766,0.58613,0.57225,0.65786,0.27391,1.91251,3.22299,2.72845,0.00102377,0.00102377,0.00102377
9,427.619,0.98504,1.20819,1.42568,0.15297,0.8,0.21244,0.05304,1.8992,3.42918,2.72795,0.00114179,0.00114179,0.00114179
10,469.482,0.94849,1.24503,1.45376,0.40627,0.8,0.43083,0.23924,1.45746,2.86047,2.47932,0.00125704,0.00125704,0.00125704
11,511.165,0.98727,1.26234,1.4434,0.17694,0.6,0.17387,0.06735,1.92099,3.98853,2.64464,0.00136952,0.00136952,0.00136952
12,552.33,0.86191,1.00517,1.33545,0.49649,0.79017,0.45013,0.21799,1.36792,3.93691,2.04592,0.00147923,0.00147923,0.00147923
13,593.673,0.91689,1.04472,1.34839,0.39833,0.8,0.44417,0.17428,1.74472,3.29033,2.65404,0.00158616,0.00158616,0.00158616
14,633.095,0.86075,1.04119,1.3629,0.15955,0.4,0.13505,0.05147,2.30355,4.5236,2.97569,0.00169032,0.00169032,0.00169032
15,672.324,0.87874,1.02656,1.42199,0.95639,0.6,0.68798,0.32113,1.82963,2.52672,2.41964,0.0017228,0.0017228,0.0017228
